order_id,customer_id,order_date,status
1,1,2024-01-10 09:15:00,delivered
2,2,2024-01-15 14:30:00,delivered
3,3,2024-02-02 11:00:00,returned
4,1,2024-02-14 16:45:00,delivered
5,4,2024-03-01 08:20:00,pending
6,5,2024-03-18 13:10:00,delivered
7,6,2024-04-05 10:55:00,delivered
8,7,2024-04-22 15:00:00,returned
9,3,2024-05-09 09:30:00,delivered
10,8,2024-05-25 17:45:00,delivered
11,9,2024-06-03 12:00:00,pending
12,10,2024-06-19 14:20:00,delivered
13,2,2024-07-07 11:35:00,delivered
14,5,2024-07-21 09:50:00,delivered
15,1,2024-08-08 16:15:00,returned